birthdate,injuredDays,up15,photo2,isActive,idTeam,nick,number,insertDatetime,price,height,isNational,isExitLeague,initialPrice,fullName,photo,url,fisicStatus,imageTeam,license,idPlayer,birthplace,nationality,competitionAverage,teamNegative,numberJourney,team,isLocal,pointsJourney,keep,imageTeamNegative,position,isExtraCommunity,shortName,nameTeam,age,down15
25/09/1992,0,52.7,0000570276_5-6_03.jpg,TRUE,18,Oriola,29,20240909T093415+0000,443125,208,TRUE,FALSE,280000,Pierre Oriola,0000570267_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20202164,fit,2425HioposLleida_positivo.png,JFL,153,Tárrega,España,8.9,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,8.9,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,5,FALSE,P. Oriola,Hiopos Lleida,32,-35
02/03/1999,0,41.4,0000770903_5-6_03.jpg,TRUE,16,Busquets,4,20240909T093413+0000,376552,201,TRUE,FALSE,180000,Pep Busquets,0000770897_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20211754,fit,BASQUET-GIRONA-Logonegativo2223.png,JFL,125,Granollers,España,7.5,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,7.5,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,3,FALSE,P. Busquets,Bàsquet Girona,26,-26.4
17/08/1991,0,43.8,0000570335_5-6_03.jpg,TRUE,18,Bropleh,3,20240909T093415+0000,377419,196,FALSE,FALSE,380000,Thomas Bropleh,0000570319_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30001994,fit,2425HioposLleida_positivo.png,COT,149,New York,Liberia,7.5,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,7.5,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,3,FALSE,T. Bropleh,Hiopos Lleida,33,-28.7
10/05/1999,0,35.6,0000568395_5-6_03.jpg,TRUE,16,Martínez,23,20240909T093414+0000,352308,202,TRUE,FALSE,420000,Sergi Martínez,0000568379_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20210335,fit,BASQUET-GIRONA-Logonegativo2223.png,JFL,133,Rubí,España,7,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,7,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,3,FALSE,S. Martínez,Bàsquet Girona,26,-21.5
05/08/1992,0,40.7,0000570047_5-6_03.jpg,TRUE,18,Walden,2,20240909T150147+0000,350968,188,FALSE,FALSE,300000,Corey Walden,0000570038_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003406,fit,2425HioposLleida_positivo.png,EUR,225,Daytona Beach (Florida),Serbia,7,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,7,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,3,FALSE,C. Walden,Hiopos Lleida,32,-26.7
27/11/1991,0,32.7,0000574826_5-6_03.jpg,TRUE,18,Muric,10,20240926T164042+0000,297241,202,FALSE,FALSE,340000,Edo Muric,0000574818_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003503,injured,2425HioposLleida_positivo.png,EUR,232,Ljubljana,Eslovenia,5.9,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,5.9,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,5,FALSE,E. Muric,Hiopos Lleida,33,-20.8
10/08/1997,0,10.7,0000808652_5-6_03.jpg,TRUE,18,Wiggins,0,20250404T142813+0000,272167,206,FALSE,FALSE,450000,Demajeo Wiggins,0000808642_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003928,fit,2425HioposLleida_positivo.png,EXT,312,Ohio,EE.UU.,5.6,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,4.1,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,5,TRUE,D. Wiggins,Hiopos Lleida,27,-2.4
03/02/1994,0,14.2,0000781885_5-6_03.jpg,TRUE,18,Hamilton,7,20250111T215611+0000,267000,213,FALSE,FALSE,400000,Johnny Hamilton,0000781877_5-6_03.jpg,NA,fit,2425HioposLleida_positivo.png,COT,278,Rio Claro,Trinidad y Tobago,5.3,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,5.3,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,5,FALSE,J. Hamilton,Hiopos Lleida,31,-3.5
22/02/1995,0,26.6,0000568339_5-6_03.jpg,TRUE,16,Susinskas,29,20240909T093414+0000,242069,204,FALSE,FALSE,250000,Mindaugas Susinskas,0000568336_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30002674,fit,BASQUET-GIRONA-Logonegativo2223.png,EUR,129,Alytus,Lituania,4.8,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,4.8,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,3,FALSE,M. Susinskas,Bàsquet Girona,30,-16.9
14/08/1986,0,22.6,0000570171_5-6_03.jpg,TRUE,18,Hasbrouck,41,20240920T150142+0000,211429,191,FALSE,FALSE,290000,Kenny Hasbrouck,0000570164_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20204140,fit,2425HioposLleida_positivo.png,EUR,231,Washington DC,EE.UU.,4.2,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,4.2,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,3,FALSE,K. Hasbrouck,Hiopos Lleida,38,-14.2
01/02/1999,0,5.3,0000808637_5-6_03.jpg,TRUE,18,Sanz,14,20250403T112000+0000,176561,199,TRUE,FALSE,250000,Mikel Sanz,0000808632_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20212478,fit,2425HioposLleida_positivo.png,JFL,310,,España,3.8,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,2.7,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,5,FALSE,M. Sanz,Hiopos Lleida,26,0
07/05/1999,0,12.5,0000568415_5-6_03.jpg,TRUE,16,Pons,5,20240909T093414+0000,183333,200,FALSE,FALSE,395000,Yves Pons,0000568398_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30002671,fit,BASQUET-GIRONA-Logonegativo2223.png,EUR,128,Puerto Príncipe,Francia,3.7,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,3.7,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,5,FALSE,Y. Pons,Bàsquet Girona,26,-5.1
08/01/2002,0,15.3,0000568202_5-6_03.jpg,TRUE,16,Ferrando,9,20240909T093414+0000,166522,184,TRUE,FALSE,170000,Guillem Ferrando,0000568191_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20212102,fit,BASQUET-GIRONA-Logonegativo2223.png,JFL,137,Benifairo de la Valldigna,España,3.3,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,3.3,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,1,FALSE,G. Ferrando,Bàsquet Girona,23,-8.7
26/01/1995,0,17.9,0000570014_5-6_03.jpg,TRUE,18,Madsen,20,20240909T093415+0000,167143,208,FALSE,FALSE,320000,Alexander Madsen,0000570007_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003234,fit,2425HioposLleida_positivo.png,EUR,150,Valkeala,Finlandia,3.3,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,3.3,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,5,FALSE,A. Madsen,Hiopos Lleida,30,-11.2
19/05/2000,0,12.3,0000568173_5-6_03.jpg,TRUE,16,Caffaro,22,20240909T093414+0000,148405,216,FALSE,FALSE,290000,Francisco Caffaro,0000568169_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003407,fit,BASQUET-GIRONA-Logonegativo2223.png,EUR,132,San Jorge,Italia,3,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,2.1,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,5,FALSE,F. Caffaro,Bàsquet Girona,25,-8.2
07/12/1999,0,17.8,0000800636_5-6_03.jpg,TRUE,16,Lucas,11,20250404T111935+0000,113144,190,FALSE,FALSE,300000,Jarod Lucas,0000800625_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003924,fit,BASQUET-GIRONA-Logonegativo2223.png,EXT,311,California,EE.UU.,0.1,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,15.4,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,3,TRUE,J. Lucas,Bàsquet Girona,25,13.1
18/08/2005,0,2.3,0000605302_5-6_03.jpg,TRUE,16,Campeny,8,20241012T235150+0000,100000,195,TRUE,FALSE,100000,Pol Campeny,0000605296_5-6_03.jpg,NA,fit,BASQUET-GIRONA-Logonegativo2223.png,JFL,240,Fornells de la Selva,España,0,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<NULL>,2,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,3,FALSE,P. Campeny,Bàsquet Girona,19,1.7
30/09/2007,0,4.9,0000606962_5-6_03.jpg,TRUE,18,Mauri,52,20241104T144556+0000,85000,190,TRUE,FALSE,100000,Ferran Mauri,0000606956_5-6_03.jpg,NA,fit,2425HioposLleida_positivo.png,JFL,249,Lleida,España,-1,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<NULL>,4.4,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,3,FALSE,F. Mauri,Hiopos Lleida,17,3.9
13/04/1998,0,108,0000568567_5-6_03.jpg,TRUE,1,Harding,10,20240909T093353+0000,955333,185,FALSE,FALSE,480000,Jerrick Harding,0000568557_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30002017,injured,75593.png,EXT,7,Kansas,EE.UU.,19.1,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,19.1,https://supermanager.acb.com/files/logo/75539.png,3,TRUE,J. Harding,MoraBanc Andorra,27,-69.7
07/02/1997,0,107.7,0000564473_5-6_03.jpg,TRUE,4,Noua,17,20240909T093400+0000,905000,202,FALSE,FALSE,440000,Amine Noua,0000564460_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30001137,fit,2425CoviranGranadapositivo.png,EUR,43,Lyon,Francia,18.1,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,18.1,https://supermanager.acb.com/files/logo/2425CoviranGranadanegativo.png,5,FALSE,A. Noua,Coviran Granada,28,-71.5
19/07/1994,0,77.5,0000568716_5-6_03.jpg,TRUE,1,Evans,0,20240909T093353+0000,767308,185,FALSE,FALSE,600000,Shannon Evans,0000568705_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30001134,fit,75593.png,COT,3,Connecticut,Guinea,15.3,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,15.3,https://supermanager.acb.com/files/logo/75539.png,1,FALSE,S. Evans,MoraBanc Andorra,30,-46.8
04/10/2000,0,72.3,0000568642_5-6_03.jpg,TRUE,1,Chougkaz,33,20240909T093353+0000,657241,208,FALSE,FALSE,325000,Nikos Chougkaz,0000568636_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003410,fit,75593.png,EUR,5,Atenas,Grecia,13.1,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,13.1,https://supermanager.acb.com/files/logo/75539.png,5,FALSE,N. Chougkaz,MoraBanc Andorra,24,-46
12/11/1995,0,61.3,0000568471_5-6_03.jpg,TRUE,1,Lammers,44,20240909T093353+0000,557241,208,FALSE,FALSE,450000,Ben Lammers,0000568465_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30000062,fit,75593.png,EXT,8,San Antonio (Texas),EE.UU.,11.1,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,11.1,https://supermanager.acb.com/files/logo/75539.png,5,TRUE,B. Lammers,MoraBanc Andorra,29,-39
23/12/2000,0,58.3,0000568693_5-6_03.jpg,TRUE,1,Doumbouya,45,20240909T093353+0000,530345,206,FALSE,FALSE,550000,Sekou Doumbouya,0000568682_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003411,fit,75593.png,EUR,4,Conakri,Francia,10.6,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,10.6,https://supermanager.acb.com/files/logo/75539.png,3,FALSE,S. Doumbouya,MoraBanc Andorra,24,-37.1
26/09/2001,0,19.9,0000799759_5-6_03.jpg,TRUE,4,Griffin,4,20250321T135526+0000,538333,190,FALSE,FALSE,520000,Sam Griffin,0000799744_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003923,injured,2425CoviranGranadapositivo.png,EXT,304,Florida,EE.UU.,10.5,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<NULL>,11.8,https://supermanager.acb.com/files/logo/2425CoviranGranadanegativo.png,3,TRUE,S. Griffin,Coviran Granada,23,3.8
17/02/1997,0,51.9,0000564764_5-6_03.jpg,TRUE,4,García,10,20240909T093400+0000,514231,193,TRUE,FALSE,500000,Sergi García,0000564746_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20210685,fit,2425CoviranGranadapositivo.png,JFL,46,Palma de Mallorca,España,10.3,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,10.3,https://supermanager.acb.com/files/logo/2425CoviranGranadanegativo.png,1,FALSE,S. García,Coviran Granada,28,-31.4
11/06/1999,0,55.7,0000564546_5-6_03.jpg,TRUE,4,Valtonen,11,20240909T093400+0000,493333,200,FALSE,FALSE,250000,Elias Valtonen,0000564531_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30001214,fit,2425CoviranGranadapositivo.png,EUR,42,Eura,Finlandia,9.9,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,9.9,https://supermanager.acb.com/files/logo/2425CoviranGranadanegativo.png,3,FALSE,E. Valtonen,Coviran Granada,25,-36
08/10/1998,0,18.1,0000799783_5-6_03.jpg,TRUE,4,Visconti,33,20250329T105037+0000,452556,197,FALSE,FALSE,230000,Riccardo Visconti,0000799769_5-6_03.jpg,NA,fit,2425CoviranGranadapositivo.png,EUR,307,Torino,Italia,9.6,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,4.5,https://supermanager.acb.com/files/logo/2425CoviranGranadanegativo.png,3,FALSE,R. Visconti,Coviran Granada,26,-9.1
07/02/1990,0,54.1,0000564648_5-6_03.jpg,TRUE,4,Rousselle,2,20240909T093400+0000,454375,192,FALSE,FALSE,420000,Jonathan Rousselle,0000564631_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30000063,fit,2425CoviranGranadapositivo.png,EUR,41,Seclin,Francia,9.1,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,9.1,https://supermanager.acb.com/files/logo/2425CoviranGranadanegativo.png,1,FALSE,J. Rousselle,Coviran Granada,35,-35.9
25/08/1989,0,52.8,0000568589_5-6_03.jpg,TRUE,1,Kuric,24,20240909T093353+0000,443438,193,FALSE,FALSE,350000,Kyle Kuric,0000568585_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20210232,fit,75593.png,EUR,6,Evansville (Indiana),Eslovaquia,8.9,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,8.9,https://supermanager.acb.com/files/logo/75539.png,3,FALSE,K. Kuric,MoraBanc Andorra,35,-35
11/02/1992,0,31.1,0000568668_5-6_03.jpg,TRUE,1,Luz,5,20240909T093353+0000,375000,188,TRUE,FALSE,230000,Rafa Luz,0000568656_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20200274,fit,75593.png,JFL,9,Araçatuba,España,7.5,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,7.5,https://supermanager.acb.com/files/logo/75539.png,1,FALSE,R. Luz,MoraBanc Andorra,33,-16.1
12/08/1989,0,35.2,0000564737_5-6_03.jpg,TRUE,4,Bamforth,7,20240909T093400+0000,370833,188,FALSE,FALSE,390000,Scott Bamforth,0000564720_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20210661,fit,2425CoviranGranadapositivo.png,EXT,44,Albuquerque (Nuevo México),EE.UU.,7.4,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,7.4,https://supermanager.acb.com/files/logo/2425CoviranGranadanegativo.png,3,TRUE,S. Bamforth,Coviran Granada,35,-20.4
26/11/1993,0,29.4,0000564593_5-6_03.jpg,TRUE,4,Clavell,3,20240909T093400+0000,367368,193,FALSE,FALSE,400000,Gian Clavell,0000564577_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20212977,injured,2425CoviranGranadapositivo.png,EUR,45,Caguas,EE.UU.,7.3,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<NULL>,7.3,https://supermanager.acb.com/files/logo/2425CoviranGranadanegativo.png,3,FALSE,G. Clavell,Coviran Granada,31,-14.7
30/04/1998,0,42.4,0000568521_5-6_03.jpg,TRUE,1,Dos Anjos,23,20240909T093353+0000,347879,218,TRUE,FALSE,340000,Felipe Dos Anjos,0000568506_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20210122,fit,75593.png,JFL,13,Osasco (Sao Paulo),España,7,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,7,https://supermanager.acb.com/files/logo/75539.png,5,FALSE,F. Dos Anjos,MoraBanc Andorra,27,-28.5
10/04/1991,0,38.9,0000568742_5-6_03.jpg,TRUE,1,Okoye,11,20240909T093353+0000,319091,198,FALSE,FALSE,270000,Stan Okoye,0000568738_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20212966,fit,75593.png,COT,2,Raleigh (Carolina del Norte),Nigeria,6.4,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,6.4,https://supermanager.acb.com/files/logo/75539.png,3,FALSE,S. Okoye,MoraBanc Andorra,34,-26.2
19/07/2003,0,33.9,0000564440_5-6_03.jpg,TRUE,4,Ubal,12,20240909T093401+0000,316429,198,TRUE,FALSE,150000,Agustín Ubal,0000564427_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30001332,fit,2425CoviranGranadapositivo.png,JFL,51,Montevideo,Italia,6.3,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,6.3,https://supermanager.acb.com/files/logo/2425CoviranGranadanegativo.png,3,FALSE,A. Ubal,Coviran Granada,21,-21.2
29/04/1992,0,30.2,0000568541_5-6_03.jpg,TRUE,1,Bassas,20,20240909T093353+0000,308400,181,TRUE,FALSE,240000,Ferran Bassas,0000568532_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20200243,fit,75593.png,JFL,12,Barcelona,España,6.2,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,6.2,https://supermanager.acb.com/files/logo/75539.png,1,FALSE,F. Bassas,MoraBanc Andorra,33,-17.9
05/11/1998,0,15.3,0000791265_5-6_03.jpg,TRUE,4,Silverio,51,20250115T215509+0000,259167,190,FALSE,FALSE,280000,Omar Silverio,0000791258_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003816,injured,2425CoviranGranadapositivo.png,COT,279,Santiago,República Dominicana,5.2,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,5.2,https://supermanager.acb.com/files/logo/2425CoviranGranadanegativo.png,3,FALSE,O. Silverio,Coviran Granada,26,-4.9
16/11/1998,0,14,0000791294_5-6_03.jpg,TRUE,4,Bezhanishvil,9,20250314T200422+0000,250000,208,FALSE,FALSE,370000,Giorgi Bezhanishvili,0000791291_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003921,fit,2425CoviranGranadapositivo.png,EUR,302,Rustavi,Austria,5,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,5,https://supermanager.acb.com/files/logo/2425CoviranGranadanegativo.png,5,FALSE,G.Bezhanishvili,Coviran Granada,26,-4
13/08/1997,0,26.7,0000568491_5-6_03.jpg,TRUE,1,Ortega,13,20240909T093353+0000,219091,190,TRUE,FALSE,280000,Chumi Ortega,0000568484_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20210959,fit,75593.png,JFL,11,Yecla,España,4.4,<chr>,<int>,https://supermanager.acb.com/files/logo/<chr>,<lgl>,<dbl>,4.4,https://supermanager.acb.com/files/logo/75539.png,3,FALSE,C. Ortega,MoraBanc Andorra,27,-18
